condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_intro.started,text_intro.stopped,text_cross.started,text_cross.stopped,text_pre_condition.started,text_pre_condition.stopped,text_pre_fix.started,text_pre_fix.stopped,text_condition.started,text_condition.stopped,text.started,text.stopped,text_end.started,text_end.stopped,participant,session,date,expName,psychopyVersion,frameRate,
feet,52,1,105,0,,,1242.0936363999936,None,1245.0938287000026,None,1245.0938287000026,None,1246.595189899992,None,1251.5940338999935,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,53,0,106,0,,,1253.594124700001,None,1256.5943489999918,None,1256.5943489999918,None,1258.0943172999978,None,1263.0945271999954,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,53,1,107,0,,,1265.0946125999908,None,1268.0947629000002,None,1268.0947629000002,None,1269.5948937999929,None,1274.595062399996,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,54,0,108,1,,,1276.5950973,None,1279.611942299991,None,1279.611942299991,None,1281.1120023999974,None,1286.0788402999897,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,54,1,109,0,,,1288.0789691999962,None,1291.0957292999956,None,1291.0957292999956,None,1292.6125068999972,None,1297.5793227999966,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,55,0,110,1,,,1299.5794664999994,None,1302.5962980999902,None,1302.5962980999902,None,1304.0962814999948,None,1309.0798842999939,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,55,1,111,1,,,1311.079940999989,None,1314.0809223999968,None,1314.0809223999968,None,1315.5801300999883,None,1320.5803920999897,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,56,0,112,1,,,1322.5806158999912,None,1325.5804998999956,None,1325.5804998999956,None,1327.0805576999992,None,1332.0807929000002,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,56,1,113,1,,,1334.0809340999986,None,1337.0809594999882,None,1337.0809594999882,None,1338.5810206000024,None,1343.5979043999978,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,57,0,114,1,,,1345.581427600002,None,1348.5814787999989,None,1348.5814787999989,None,1350.0815195999894,None,1355.0818168999976,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,57,1,115,1,,,1357.0824161999917,None,1360.081925099992,None,1360.081925099992,None,1361.5819890999992,None,1366.5823120999994,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,58,0,116,0,,,1368.5823111999925,None,1371.5990917000017,None,1371.5990917000017,None,1373.0991555999935,None,1378.0827655999892,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,58,1,117,1,,,1380.082872599989,None,1383.0996408999927,None,1383.0996408999927,None,1384.5997027999983,None,1389.5832905999996,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,59,0,118,0,,,1391.5832786999963,None,1394.6001160000014,None,1394.6001160000014,None,1396.1002079000027,None,1401.0837336999975,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,59,1,119,0,,,1403.0838446999987,None,1406.083939899996,None,1406.083939899996,None,1407.5839940000005,None,1412.5841591999924,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
,,,,,,,,,,,,,,,,,1414.584270499996,None,,,,,,,
